FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,latitude,longitude,latitude_dest,longitude_dest
2019-06-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2757,MCO,"Orlando, FL",LAX,"Los Angeles, CA",2030,,,,,,,2240,,,1.0,A,0.0,310.0,,,2218.0,,,,,,28.412903550000003,-81.30944309752753,33.94216754999999,-118.42135906141588
2019-12-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1202,BOS,"Boston, MA",EWR,"Newark, NJ",1800,,,,,,,1944,,,1.0,B,0.0,104.0,,,200.0,,,,,,42.36317665,-71.01364006269452,40.68906405,-74.17725485035348
2019-12-04,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1072,OAK,"Oakland, CA",LAS,"Las Vegas, NV",2025,,,,,,,2150,,,1.0,C,0.0,85.0,,,407.0,,,,,,37.72225915,-122.21701661553246,36.0861034,-115.1611197919236
2020-03-26,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,70,HNL,"Honolulu, HI",LGB,"Long Beach, CA",1200,,,,,,,2020,,,1.0,D,0.0,320.0,,,2569.0,,,,,,21.32040435,-157.9173135198164,33.815565899999996,-118.1534292216672
2019-12-30,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2549,MDW,"Chicago, IL",OAK,"Oakland, CA",2030,,,,,,,2310,,,1.0,B,0.0,280.0,,,1844.0,,,,,,41.7854316,-87.75084869357148,37.72225915,-122.21701661553246
2019-06-09,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,5275,AUS,"Austin, TX",OAK,"Oakland, CA",1925,2257.0,212.0,,,,,2100,,,1.0,A,0.0,215.0,,,1497.0,,,,,,30.19348925,-97.66500963529676,37.72225915,-122.21701661553246
2019-10-25,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2437,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",700,,,,,,,1205,,,1.0,B,0.0,185.0,,,1235.0,,,,,,33.94216754999999,-118.42135906141588,32.89651945,-97.0465220537124
2019-12-24,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,362,HNL,"Honolulu, HI",EWR,"Newark, NJ",1550,1548.0,-2.0,18.0,1606.0,,,613,,,1.0,A,0.0,563.0,,,4962.0,,,,,,21.32040435,-157.9173135198164,40.68906405,-74.17725485035348
2019-07-01,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2415,SJU,"San Juan, PR",MIA,"Miami, FL",1023,,,,,,,1312,,,1.0,A,0.0,169.0,,,1045.0,,,,,,18.44319945,-65.99743036847468,25.7949789,-80.28672341095405
2019-08-18,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,209,ORD,"Chicago, IL",OAK,"Oakland, CA",1755,,,,,,,2030,,,1.0,C,0.0,275.0,,,1836.0,,,,,,41.9780813,-87.90918176930403,37.72225915,-122.21701661553246
2019-12-26,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,982,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",2205,,,,,,,2310,,,1.0,C,0.0,65.0,,,236.0,,,,,,36.0861034,-115.1611197919236,33.94216754999999,-118.42135906141588
2022-06-28,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1855,AUS,"Austin, TX",SJU,"San Juan, PR",2313,,,,,,,500,,,1.0,A,0.0,287.0,,,2146.0,,,,,,30.19348925,-97.66500963529676,18.44319945,-65.99743036847468
2019-07-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1355,SJU,"San Juan, PR",MIA,"Miami, FL",1757,,,,,,,2044,,,1.0,A,0.0,167.0,,,1045.0,,,,,,18.44319945,-65.99743036847468,25.7949789,-80.28672341095405
2019-12-02,JetBlue Airways,JetBlue Airways: B6,B6,20409,2580,EWR,"Newark, NJ",BOS,"Boston, MA",1620,,,,,,,1736,,,1.0,C,0.0,76.0,,,200.0,,,,,,40.68906405,-74.17725485035348,42.36317665,-71.01364006269452
2019-12-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2600,BOS,"Boston, MA",DFW,"Dallas/Fort Worth, TX",815,,,,,,,1149,,,1.0,A,0.0,274.0,,,1562.0,,,,,,42.36317665,-71.01364006269452,32.89651945,-97.0465220537124
2021-12-06,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2765,LGB,"Long Beach, CA",MDW,"Chicago, IL",1120,,,,,,,1720,,,1.0,B,0.0,240.0,,,1741.0,,,,,,33.815565899999996,-118.1534292216672,41.7854316,-87.75084869357148
2019-08-27,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,89,BOS,"Boston, MA",HNL,"Honolulu, HI",920,908.0,-12.0,15.0,923.0,1408.0,10.0,1425,1418.0,-7.0,0.0,,0.0,665.0,670.0,645.0,5095.0,,,,,,42.36317665,-71.01364006269452,21.32040435,-157.9173135198164
2019-10-13,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3836,BWI,"Baltimore, MD",EWR,"Newark, NJ",2035,2028.0,-7.0,14.0,2042.0,2121.0,6.0,2150,2127.0,-23.0,0.0,,0.0,75.0,59.0,39.0,169.0,,,,,,39.1828341,-76.6698273,40.68906405,-74.17725485035348
2019-07-01,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1341,MIA,"Miami, FL",SJU,"San Juan, PR",650,,,,,,,928,,,1.0,A,0.0,158.0,,,1045.0,,,,,,25.7949789,-80.28672341095405,18.44319945,-65.99743036847468
2019-10-31,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,159,EWR,"Newark, NJ",MCO,"Orlando, FL",2055,,,,,,,2349,,,1.0,C,0.0,174.0,,,937.0,,,,,,40.68906405,-74.17725485035348,28.412903550000003,-81.30944309752753
