,date,province,confirmed
609,2020-02-24,Gyeongsangbuk-do,193
610,2020-02-24,Gyeongsangnam-do,20
611,2020-02-24,Jeju-do,2
612,2020-02-25,Seoul,41
613,2020-02-25,Busan,42
614,2020-02-25,Daegu,543
615,2020-02-25,Incheon,2
616,2020-02-25,Gwangju,9
617,2020-02-25,Daejeon,3
618,2020-02-25,Ulsan,3
620,2020-02-25,Gyeonggi-do,42
621,2020-02-25,Gangwon-do,6
622,2020-02-25,Chungcheongbuk-do,5
623,2020-02-25,Chungcheongnam-do,2
624,2020-02-25,Jeollabuk-do,3
625,2020-02-25,Jeollanam-do,1
626,2020-02-25,Gyeongsangbuk-do,249
627,2020-02-25,Gyeongsangnam-do,23
628,2020-02-25,Jeju-do,2
629,2020-02-26,Seoul,49
630,2020-02-26,Busan,58
631,2020-02-26,Daegu,710
632,2020-02-26,Incheon,3
633,2020-02-26,Gwangju,9
634,2020-02-26,Daejeon,5
635,2020-02-26,Ulsan,4
637,2020-02-26,Gyeonggi-do,51
638,2020-02-26,Gangwon-do,6
639,2020-02-26,Chungcheongbuk-do,5
640,2020-02-26,Chungcheongnam-do,3
641,2020-02-26,Jeollabuk-do,3
642,2020-02-26,Jeollanam-do,1
643,2020-02-26,Gyeongsangbuk-do,317
644,2020-02-26,Gyeongsangnam-do,34
645,2020-02-26,Jeju-do,2
646,2020-02-27,Seoul,56
647,2020-02-27,Busan,61
648,2020-02-27,Daegu,1132
649,2020-02-27,Incheon,3
650,2020-02-27,Gwangju,9
651,2020-02-27,Daejeon,9
652,2020-02-27,Ulsan,11
654,2020-02-27,Gyeonggi-do,62
655,2020-02-27,Gangwon-do,6
656,2020-02-27,Chungcheongbuk-do,8
657,2020-02-27,Chungcheongnam-do,12
658,2020-02-27,Jeollabuk-do,5
659,2020-02-27,Jeollanam-do,1
660,2020-02-27,Gyeongsangbuk-do,345
661,2020-02-27,Gyeongsangnam-do,43
662,2020-02-27,Jeju-do,2
663,2020-02-28,Seoul,62
664,2020-02-28,Busan,65
665,2020-02-28,Daegu,1580
666,2020-02-28,Incheon,4
667,2020-02-28,Gwangju,9
668,2020-02-28,Daejeon,13
669,2020-02-28,Ulsan,14
671,2020-02-28,Gyeonggi-do,72
672,2020-02-28,Gangwon-do,7
673,2020-02-28,Chungcheongbuk-do,9
674,2020-02-28,Chungcheongnam-do,35
675,2020-02-28,Jeollabuk-do,5
676,2020-02-28,Jeollanam-do,1
677,2020-02-28,Gyeongsangbuk-do,409
678,2020-02-28,Gyeongsangnam-do,49
679,2020-02-28,Jeju-do,2
680,2020-02-29,Seoul,77
681,2020-02-29,Busan,80
682,2020-02-29,Daegu,2236
683,2020-02-29,Incheon,6
684,2020-02-29,Gwangju,9
685,2020-02-29,Daejeon,13
686,2020-02-29,Ulsan,17
688,2020-02-29,Gyeonggi-do,82
689,2020-02-29,Gangwon-do,7
690,2020-02-29,Chungcheongbuk-do,10
691,2020-02-29,Chungcheongnam-do,55
692,2020-02-29,Jeollabuk-do,5
693,2020-02-29,Jeollanam-do,3
694,2020-02-29,Gyeongsangbuk-do,488
695,2020-02-29,Gyeongsangnam-do,59
696,2020-02-29,Jeju-do,2
697,2020-03-01,Seoul,87
698,2020-03-01,Busan,83
699,2020-03-01,Daegu,2704
700,2020-03-01,Incheon,6
701,2020-03-01,Gwangju,9
702,2020-03-01,Daejeon,13
703,2020-03-01,Ulsan,20
705,2020-03-01,Gyeonggi-do,89
706,2020-03-01,Gangwon-do,15
707,2020-03-01,Chungcheongbuk-do,11
708,2020-03-01,Chungcheongnam-do,68
709,2020-03-01,Jeollabuk-do,6
710,2020-03-01,Jeollanam-do,3
711,2020-03-01,Gyeongsangbuk-do,556
712,2020-03-01,Gyeongsangnam-do,63
713,2020-03-01,Jeju-do,2
714,2020-03-02,Seoul,91
715,2020-03-02,Busan,88
716,2020-03-02,Daegu,3081
717,2020-03-02,Incheon,7
718,2020-03-02,Gwangju,9
719,2020-03-02,Daejeon,14
720,2020-03-02,Ulsan,20
722,2020-03-02,Gyeonggi-do,92
723,2020-03-02,Gangwon-do,19
724,2020-03-02,Chungcheongbuk-do,11
725,2020-03-02,Chungcheongnam-do,78
726,2020-03-02,Jeollabuk-do,6
727,2020-03-02,Jeollanam-do,5
728,2020-03-02,Gyeongsangbuk-do,624
729,2020-03-02,Gyeongsangnam-do,64
730,2020-03-02,Jeju-do,2
731,2020-03-03,Seoul,98
732,2020-03-03,Busan,90
733,2020-03-03,Daegu,3601
734,2020-03-03,Incheon,7
735,2020-03-03,Gwangju,11
736,2020-03-03,Daejeon,14
737,2020-03-03,Ulsan,20
739,2020-03-03,Gyeonggi-do,94
740,2020-03-03,Gangwon-do,20
741,2020-03-03,Chungcheongbuk-do,11
742,2020-03-03,Chungcheongnam-do,81
743,2020-03-03,Jeollabuk-do,7
744,2020-03-03,Jeollanam-do,5
745,2020-03-03,Gyeongsangbuk-do,685
746,2020-03-03,Gyeongsangnam-do,64
747,2020-03-03,Jeju-do,3
748,2020-03-04,Seoul,99
749,2020-03-04,Busan,92
750,2020-03-04,Daegu,4007
751,2020-03-04,Incheon,9
752,2020-03-04,Gwangju,13
753,2020-03-04,Daejeon,15
754,2020-03-04,Ulsan,23
756,2020-03-04,Gyeonggi-do,101
757,2020-03-04,Gangwon-do,21
758,2020-03-04,Chungcheongbuk-do,11
759,2020-03-04,Chungcheongnam-do,82
760,2020-03-04,Jeollabuk-do,7
761,2020-03-04,Jeollanam-do,4
762,2020-03-04,Gyeongsangbuk-do,774
763,2020-03-04,Gyeongsangnam-do,65
764,2020-03-04,Jeju-do,3
765,2020-03-05,Seoul,103
766,2020-03-05,Busan,92
767,2020-03-05,Daegu,4328
768,2020-03-05,Incheon,9
769,2020-03-05,Gwangju,13
770,2020-03-05,Daejeon,16
771,2020-03-05,Ulsan,23
773,2020-03-05,Gyeonggi-do,110
774,2020-03-05,Gangwon-do,23
775,2020-03-05,Chungcheongbuk-do,12
776,2020-03-05,Chungcheongnam-do,86
777,2020-03-05,Jeollabuk-do,7
778,2020-03-05,Jeollanam-do,4
779,2020-03-05,Gyeongsangbuk-do,861
780,2020-03-05,Gyeongsangnam-do,74
781,2020-03-05,Jeju-do,4
782,2020-03-06,Seoul,105
783,2020-03-06,Busan,95
784,2020-03-06,Daegu,4694
785,2020-03-06,Incheon,9
786,2020-03-06,Gwangju,13
787,2020-03-06,Daejeon,18
788,2020-03-06,Ulsan,23
790,2020-03-06,Gyeonggi-do,120
791,2020-03-06,Gangwon-do,25
792,2020-03-06,Chungcheongbuk-do,15
793,2020-03-06,Chungcheongnam-do,90
794,2020-03-06,Jeollabuk-do,7
795,2020-03-06,Jeollanam-do,4
796,2020-03-06,Gyeongsangbuk-do,984
797,2020-03-06,Gyeongsangnam-do,77
798,2020-03-06,Jeju-do,4
799,2020-03-07,Seoul,108
800,2020-03-07,Busan,96
801,2020-03-07,Daegu,5084
802,2020-03-07,Incheon,9
803,2020-03-07,Gwangju,13
804,2020-03-07,Daejeon,18
805,2020-03-07,Ulsan,23
807,2020-03-07,Gyeonggi-do,130
808,2020-03-07,Gangwon-do,26
809,2020-03-07,Chungcheongbuk-do,20
810,2020-03-07,Chungcheongnam-do,92
811,2020-03-07,Jeollabuk-do,7
812,2020-03-07,Jeollanam-do,4
813,2020-03-07,Gyeongsangbuk-do,1049
814,2020-03-07,Gyeongsangnam-do,82
815,2020-03-07,Jeju-do,4
816,2020-03-08,Seoul,120
817,2020-03-08,Busan,96
818,2020-03-08,Daegu,5381
819,2020-03-08,Incheon,9
820,2020-03-08,Gwangju,13
821,2020-03-08,Daejeon,18
822,2020-03-08,Ulsan,24
824,2020-03-08,Gyeonggi-do,141
825,2020-03-08,Gangwon-do,27
826,2020-03-08,Chungcheongbuk-do,24
827,2020-03-08,Chungcheongnam-do,98
828,2020-03-08,Jeollabuk-do,7
829,2020-03-08,Jeollanam-do,4
830,2020-03-08,Gyeongsangbuk-do,1082
831,2020-03-08,Gyeongsangnam-do,83
832,2020-03-08,Jeju-do,4
833,2020-03-09,Seoul,130
834,2020-03-09,Busan,96
835,2020-03-09,Daegu,5571
836,2020-03-09,Incheon,9
837,2020-03-09,Gwangju,15
838,2020-03-09,Daejeon,18
839,2020-03-09,Ulsan,24
841,2020-03-09,Gyeonggi-do,153
842,2020-03-09,Gangwon-do,28
843,2020-03-09,Chungcheongbuk-do,25
844,2020-03-09,Chungcheongnam-do,102
845,2020-03-09,Jeollabuk-do,7
846,2020-03-09,Jeollanam-do,4
847,2020-03-09,Gyeongsangbuk-do,1107
848,2020-03-09,Gyeongsangnam-do,83
849,2020-03-09,Jeju-do,4
850,2020-03-10,Seoul,141
851,2020-03-10,Busan,96
852,2020-03-10,Daegu,5663
853,2020-03-10,Incheon,13
854,2020-03-10,Gwangju,15
855,2020-03-10,Daejeon,18
856,2020-03-10,Ulsan,24
858,2020-03-10,Gyeonggi-do,163
859,2020-03-10,Gangwon-do,28
860,2020-03-10,Chungcheongbuk-do,25
861,2020-03-10,Chungcheongnam-do,104
862,2020-03-10,Jeollabuk-do,7
863,2020-03-10,Jeollanam-do,4
864,2020-03-10,Gyeongsangbuk-do,1117
865,2020-03-10,Gyeongsangnam-do,83
866,2020-03-10,Jeju-do,4
867,2020-03-11,Seoul,193
868,2020-03-11,Busan,98
869,2020-03-11,Daegu,5794
870,2020-03-11,Incheon,25
871,2020-03-11,Gwangju,15
872,2020-03-11,Daejeon,18
873,2020-03-11,Ulsan,25
875,2020-03-11,Gyeonggi-do,175
876,2020-03-11,Gangwon-do,29
877,2020-03-11,Chungcheongbuk-do,27
878,2020-03-11,Chungcheongnam-do,112
879,2020-03-11,Jeollabuk-do,7
880,2020-03-11,Jeollanam-do,4
